행정구역,2026년04월_계_총인구수,2026년04월_계_연령구간인구수,2026년04월_계_0~9세,2026년04월_계_10~19세,2026년04월_계_20~29세,2026년04월_계_30~39세,2026년04월_계_40~49세,2026년04월_계_50~59세,2026년04월_계_60~69세,2026년04월_계_70~79세,2026년04월_계_80~89세,2026년04월_계_90~99세,2026년04월_계_100세 이상,2026년04월_남_총인구수,2026년04월_남_연령구간인구수,2026년04월_남_0~9세,2026년04월_남_10~19세,2026년04월_남_20~29세,2026년04월_남_30~39세,2026년04월_남_40~49세,2026년04월_남_50~59세,2026년04월_남_60~69세,2026년04월_남_70~79세,2026년04월_남_80~89세,2026년04월_남_90~99세,2026년04월_남_100세 이상,2026년04월_여_총인구수,2026년04월_여_연령구간인구수,2026년04월_여_0~9세,2026년04월_여_10~19세,2026년04월_여_20~29세,2026년04월_여_30~39세,2026년04월_여_40~49세,2026년04월_여_50~59세,2026년04월_여_60~69세,2026년04월_여_70~79세,2026년04월_여_80~89세,2026년04월_여_90~99세,2026년04월_여_100세 이상
부산광역시 영도구 (2620000000),"100,633","100,633","3,420","6,265","8,429","8,752","11,800","16,627","20,357","16,527","7,467",974,15,"49,300","49,300","1,745","3,264","4,633","4,698","6,217","8,554","9,910","7,280","2,746",252,1,"51,333","51,333","1,675","3,001","3,796","4,054","5,583","8,073","10,447","9,247","4,721",722,14
부산광역시 부산진구 (2623000000),"365,157","365,157","18,197","24,653","46,153","54,157","48,986","55,676","58,730","39,431","16,813","2,312",49,"174,413","174,413","9,266","12,278","21,462","27,482","24,985","27,238","27,205","17,523","6,361",610,3,"190,744","190,744","8,931","12,375","24,691","26,675","24,001","28,438","31,525","21,908","10,452","1,702",46
부산광역시 동래구 (2626000000),"271,815","271,815","16,753","26,428","25,096","31,947","42,056","44,053","42,437","29,656","11,676","1,685",28,"130,705","130,705","8,575","13,702","12,717","15,950","20,666","21,384","19,339","13,122","4,816",432,2,"141,110","141,110","8,178","12,726","12,379","15,997","21,390","22,669","23,098","16,534","6,860","1,253",26
부산광역시 남구 (2629000000),"253,913","253,913","12,465","22,463","30,398","27,789","34,987","41,641","40,107","29,402","12,870","1,763",28,"123,206","123,206","6,413","11,433","15,926","14,370","17,409","20,603","18,551","12,925","5,124",449,3,"130,707","130,707","6,052","11,030","14,472","13,419","17,578","21,038","21,556","16,477","7,746","1,314",25
부산광역시 북구 (2632000000),"261,316","261,316","12,870","20,179","24,178","31,190","33,400","44,908","52,073","29,805","11,106","1,572",35,"127,999","127,999","6,644","10,398","12,920","16,486","17,117","21,120","24,930","13,804","4,231",348,1,"133,317","133,317","6,226","9,781","11,258","14,704","16,283","23,788","27,143","16,001","6,875","1,224",34
부산광역시 해운대구 (2635000000),"371,143","371,143","19,923","34,717","34,776","41,160","55,039","65,266","62,022","39,151","16,487","2,549",53,"177,629","177,629","10,186","17,930","18,018","20,691","26,578","30,857","28,897","17,575","6,245",638,14,"193,514","193,514","9,737","16,787","16,758","20,469","28,461","34,409","33,125","21,576","10,242","1,911",39
부산광역시 사하구 (2638000000),"283,258","283,258","11,819","22,632","28,481","29,841","38,304","48,519","53,597","35,118","13,112","1,785",50,"140,331","140,331","6,060","11,618","15,340","16,144","19,977","24,047","25,506","16,164","5,066",402,7,"142,927","142,927","5,759","11,014","13,141","13,697","18,327","24,472","28,091","18,954","8,046","1,383",43
부산광역시 금정구 (2641000000),"205,880","205,880","7,732","15,540","25,501","20,491","24,960","33,301","38,499","26,795","11,285","1,738",38,"99,994","99,994","3,877","7,805","13,758","11,062","12,617","16,049","17,973","11,923","4,483",441,6,"105,886","105,886","3,855","7,735","11,743","9,429","12,343","17,252","20,526","14,872","6,802","1,297",32
부산광역시 강서구 (2644000000),"152,826","152,826","16,724","18,394","10,575","24,206","31,851","19,025","17,813","10,239","3,426",562,11,"78,988","78,988","8,533","9,428","5,767","12,354","17,071","10,392","8,828","5,147","1,354",112,2,"73,838","73,838","8,191","8,966","4,808","11,852","14,780","8,633","8,985","5,092","2,072",450,9
부산광역시 연제구 (2647000000),"211,491","211,491","12,127","17,192","21,173","28,436","30,782","33,530","33,542","23,700","9,674","1,307",28,"100,653","100,653","6,179","8,699","10,377","14,163","15,204","16,071","15,250","10,463","3,906",337,4,"110,838","110,838","5,948","8,493","10,796","14,273","15,578","17,459","18,292","13,237","5,768",970,24
부산광역시 수영구 (2650000000),"168,577","168,577","7,266","11,394","19,147","22,886","22,751","26,001","27,517","21,195","9,072","1,323",25,"78,924","78,924","3,683","5,876","8,970","11,622","11,251","12,321","12,014","9,108","3,726",351,2,"89,653","89,653","3,583","5,518","10,177","11,264","11,500","13,680","15,503","12,087","5,346",972,23
부산광역시 사상구 (2653000000),"192,901","192,901","7,169","13,203","20,818","22,427","23,699","32,945","40,226","23,464","7,924","1,004",22,"96,297","96,297","3,765","6,683","10,707","12,313","12,505","16,495","19,822","10,814","2,997",194,2,"96,604","96,604","3,404","6,520","10,111","10,114","11,194","16,450","20,404","12,650","4,927",810,20
부산광역시 기장군 (2671000000),"175,267","175,267","12,177","20,020","14,540","20,198","31,059","28,370","23,949","16,798","7,027","1,094",35,"86,880","86,880","6,245","10,265","7,835","10,484","15,595","14,540","11,406","7,560","2,703",244,3,"88,387","88,387","5,932","9,755","6,705","9,714","15,464","13,830","12,543","9,238","4,324",850,32
대구광역시  (2700000000),"2,349,360","2,349,360","131,987","212,646","248,823","285,394","332,593","409,460","381,795","228,635","101,182","16,543",302,"1,150,292","1,150,292","67,793","108,867","130,473","151,985","166,326","199,640","182,393","101,311","37,310","4,149",45,"1,199,068","1,199,068","64,194","103,779","118,350","133,409","166,267","209,820","199,402","127,324","63,872","12,394",257
대구광역시 중구 (2711000000),"101,576","101,576","8,204","7,559","13,595","18,393","15,007","14,269","11,441","8,138","4,225",725,20,"48,547","48,547","4,218","3,735","6,159","9,323","7,720","6,920","5,332","3,374","1,561",202,3,"53,029","53,029","3,986","3,824","7,436","9,070","7,287","7,349","6,109","4,764","2,664",523,17
대구광역시 동구 (2714000000),"338,262","338,262","18,738","25,889","33,238","44,126","46,155","55,629","56,583","38,001","17,207","2,647",49,"165,087","165,087","9,648","13,369","17,339","23,594","23,641","27,384","26,397","16,606","6,411",690,8,"173,175","173,175","9,090","12,520","15,899","20,532","22,514","28,245","30,186","21,395","10,796","1,957",41
대구광역시 서구 (2717000000),"163,811","163,811","6,834","9,750","14,305","19,651","19,523","28,263","33,668","21,469","9,044","1,281",23,"81,029","81,029","3,530","4,886","7,593","11,000","10,527","14,410","16,223","9,293","3,295",271,1,"82,782","82,782","3,304","4,864","6,712","8,651","8,996","13,853","17,445","12,176","5,749","1,010",22
대구광역시 남구 (2720000000),"139,121","139,121","5,427","8,355","16,140","17,651","16,974","23,006","23,980","17,464","8,619","1,475",30,"66,174","66,174","2,802","4,214","7,675","9,482","8,598","11,381","11,041","7,461","3,122",394,4,"72,947","72,947","2,625","4,141","8,465","8,169","8,376","11,625","12,939","10,003","5,497","1,081",26
대구광역시 북구 (2723000000),"407,876","407,876","21,237","37,631","49,945","47,914","55,914","75,937","64,983","35,743","16,064","2,458",50,"201,650","201,650","10,880","19,229","26,780","25,922","27,973","37,173","31,584","15,754","5,769",580,6,"206,226","206,226","10,357","18,402","23,165","21,992","27,941","38,764","33,399","19,989","10,295","1,878",44
대구광역시 수성구 (2726000000),"408,743","408,743","24,455","47,022","41,798","42,917","62,771","73,884","59,613","36,321","16,832","3,076",54,"196,211","196,211","12,586","24,395","22,203","21,618","29,374","34,690","28,043","15,967","6,456",872,7,"212,532","212,532","11,869","22,627","19,595","21,299","33,397","39,194","31,570","20,354","10,376","2,204",47
대구광역시 달서구 (2729000000),"514,677","514,677","26,811","48,591","57,248","61,080","71,296","93,813","87,091","46,943","18,768","2,986",50,"251,742","251,742","13,812","24,696","30,037","32,845","35,175","44,892","41,447","21,169","6,922",735,12,"262,935","262,935","12,999","23,895","27,211","28,235","36,121","48,921","45,644","25,774","11,846","2,251",38
대구광역시 달성군 (2771000000),"252,627","252,627","19,838","27,038","21,630","32,522","43,310","41,152","38,096","19,922","7,754","1,342",23,"128,028","128,028","10,065","13,894","12,143","17,517","22,383","20,786","18,816","9,348","2,796",276,4,"124,599","124,599","9,773","13,144","9,487","15,005","20,927","20,366","19,280","10,574","4,958","1,066",19
대구광역시 군위군 (2772000000),"22,667","22,667",443,811,924,"1,140","1,643","3,507","6,340","4,634","2,669",553,3,"11,824","11,824",252,449,544,684,935,"2,004","3,510","2,339",978,129,0,"10,843","10,843",191,362,380,456,708,"1,503","2,830","2,295","1,691",424,3
인천광역시  (2800000000),"3,057,226","3,057,226","187,255","276,020","332,664","432,537","472,438","514,812","477,895","241,702","102,375","18,965",563,"1,526,524","1,526,524","96,148","141,266","171,415","225,974","243,714","257,524","235,215","112,572","38,240","4,364",92,"1,530,702","1,530,702","91,107","134,754","161,249","206,563","228,724","257,288","242,680","129,130","64,135","14,601",471
인천광역시 중구 (2811000000),"178,145","178,145","12,815","16,125","21,953","29,310","29,599","27,343","21,791","12,782","5,474",919,34,"92,225","92,225","6,653","8,170","11,066","15,938","15,867","14,992","11,162","6,010","2,158",200,9,"85,920","85,920","6,162","7,955","10,887","13,372","13,732","12,351","10,629","6,772","3,316",719,25
인천광역시 중구영종출장소 (2811400000),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시 중구용유출장소 (2811800000),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시 동구 (2814000000),"57,753","57,753","2,386","4,230","5,289","6,565","8,045","9,797","10,019","7,329","3,520",561,12,"28,877","28,877","1,222","2,233","2,781","3,548","4,326","5,154","4,924","3,233","1,356",96,4,"28,876","28,876","1,164","1,997","2,508","3,017","3,719","4,643","5,095","4,096","2,164",465,8
인천광역시 미추홀구 (2817700000),"417,547","417,547","22,841","32,524","48,481","58,439","62,146","68,730","65,095","38,832","17,450","2,936",73,"210,001","210,001","11,726","16,729","25,560","31,288","33,211","35,234","31,412","17,442","6,639",750,10,"207,546","207,546","11,115","15,795","22,921","27,151","28,935","33,496","33,683","21,390","10,811","2,186",63
인천광역시 연수구 (2818500000),"410,191","410,191","32,474","47,505","44,500","57,194","70,987","68,224","55,171","22,930","9,210","1,929",67,"202,911","202,911","16,558","24,294","22,954","28,397","34,945","33,460","27,380","11,024","3,458",436,5,"207,280","207,280","15,916","23,211","21,546","28,797","36,042","34,764","27,791","11,906","5,752","1,493",62
인천광역시 남동구 (2820000000),"479,566","479,566","22,928","44,137","53,292","60,894","72,015","84,237","79,824","41,970","17,181","2,996",92,"237,693","237,693","11,761","22,727","27,355","32,498","36,695","41,904","38,533","19,236","6,303",667,14,"241,873","241,873","11,167","21,410","25,937","28,396","35,320","42,333","41,291","22,734","10,878","2,329",78
인천광역시 부평구 (2823700000),"489,127","489,127","25,809","37,985","53,316","73,865","70,096","82,851","82,351","41,724","17,804","3,242",84,"240,086","240,086","13,364","19,509","26,824","38,529","35,892","39,980","39,704","18,927","6,583",762,12,"249,041","249,041","12,445","18,476","26,492","35,336","34,204","42,871","42,647","22,797","11,221","2,480",72
인천광역시 계양구 (2824500000),"276,851","276,851","11,652","21,087","30,667","37,230","36,920","52,007","54,073","22,109","9,208","1,830",68,"137,660","137,660","5,969","10,626","16,040","19,862","19,024","25,129","26,840","10,576","3,177",406,11,"139,191","139,191","5,683","10,461","14,627","17,368","17,896","26,878","27,233","11,533","6,031","1,424",57
인천광역시 서구 (2826000000),"658,984","658,984","53,322","67,371","69,005","102,605","113,924","108,007","88,120","39,005","14,712","2,822",91,"331,126","331,126","27,354","34,364","35,056","52,198","58,991","54,260","44,263","18,606","5,416",599,19,"327,858","327,858","25,968","33,007","33,949","50,407","54,933","53,747","43,857","20,399","9,296","2,223",72
인천광역시 서구검단출장소 (2826500000),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시 강화군 (2871000000),"69,665","69,665","2,520","4,195","4,073","4,840","6,856","10,593","16,713","11,954","6,479","1,415",27,"34,893","34,893","1,300","2,155","2,293","2,622","3,589","5,620","8,380","5,938","2,609",380,7,"34,772","34,772","1,220","2,040","1,780","2,218","3,267","4,973","8,333","6,016","3,870","1,035",20
인천광역시 옹진군 (2872000000),"19,397","19,397",508,861,"2,088","1,595","1,850","3,023","4,738","3,067","1,337",315,15,"11,052","11,052",241,459,"1,486","1,094","1,174","1,791","2,617","1,580",541,68,1,"8,345","8,345",267,402,602,501,676,"1,232","2,121","1,487",796,247,14
광주광역시  (2900000000),"1,386,567","1,386,567","84,211","143,130","166,820","173,547","210,330","240,115","195,915","112,022","51,635","8,647",195,"683,873","683,873","42,907","73,686","87,101","90,420","105,020","119,051","93,845","49,864","19,833","2,120",26,"702,694","702,694","41,304","69,444","79,719","83,127","105,310","121,064","102,070","62,158","31,802","6,527",169
광주광역시 동구 (2911000000),"104,730","104,730","6,492","7,723","13,267","14,187","14,015","15,284","15,475","11,284","6,044",946,13,"51,202","51,202","3,360","3,920","6,632","7,312","7,274","7,677","7,286","4,946","2,498",294,3,"53,528","53,528","3,132","3,803","6,635","6,875","6,741","7,607","8,189","6,338","3,546",652,10
광주광역시 서구 (2914000000),"275,234","275,234","14,430","26,517","35,102","34,131","40,169","49,399","40,114","23,147","10,409","1,773",43,"134,573","134,573","7,424","13,915","18,065","17,882","19,721","23,942","18,831","10,287","4,028",474,4,"140,661","140,661","7,006","12,602","17,037","16,249","20,448","25,457","21,283","12,860","6,381","1,299",39
광주광역시 남구 (2915500000),"206,375","206,375","12,444","22,996","21,006","22,864","31,986","32,714","30,437","20,685","9,585","1,615",43,"98,448","98,448","6,294","11,423","10,746","11,495","15,600","15,919","13,751","8,971","3,839",402,8,"107,927","107,927","6,150","11,573","10,260","11,369","16,386","16,795","16,686","11,714","5,746","1,213",35
광주광역시 북구 (2917000000),"415,580","415,580","25,183","39,207","48,302","53,009","60,688","70,682","63,379","36,249","16,155","2,671",55,"205,316","205,316","12,870","20,381","25,433","27,572","30,833","35,056","30,071","16,264","6,193",637,6,"210,264","210,264","12,313","18,826","22,869","25,437","29,855","35,626","33,308","19,985","9,962","2,034",49
광주광역시 광산구 (2920000000),"384,648","384,648","25,662","46,687","49,143","49,356","63,472","72,036","46,510","20,657","9,442","1,642",41,"194,334","194,334","12,959","24,047","26,225","26,159","31,592","36,457","23,906","9,396","3,275",313,5,"190,314","190,314","12,703","22,640","22,918","23,197","31,880","35,579","22,604","11,261","6,167","1,329",36
대전광역시  (3000000000),"1,441,687","1,441,687","85,548","136,091","185,839","196,022","207,001","242,204","209,204","118,820","51,604","9,149",205,"718,049","718,049","44,027","69,651","96,890","104,472","103,948","120,730","101,550","54,593","19,857","2,299",32,"723,638","723,638","41,521","66,440","88,949","91,550","103,053","121,474","107,654","64,227","31,747","6,850",173
대전광역시 동구 (3011000000),"218,362","218,362","10,824","18,754","27,570","25,376","28,742","36,189","35,225","23,093","10,849","1,707",33,"109,903","109,903","5,634","9,454","14,681","13,833","15,032","18,948","17,286","10,435","4,172",421,7,"108,459","108,459","5,190","9,300","12,889","11,543","13,710","17,241","17,939","12,658","6,677","1,286",26
대전광역시 중구 (3014000000),"224,665","224,665","11,468","19,354","24,791","26,293","30,533","38,513","35,471","24,431","11,749","2,015",47,"109,808","109,808","5,806","9,899","12,360","13,658","15,394","19,498","17,195","10,845","4,580",565,8,"114,857","114,857","5,662","9,455","12,431","12,635","15,139","19,015","18,276","13,586","7,169","1,450",39
대전광역시 서구 (3017000000),"463,574","463,574","27,223","46,099","62,980","65,909","68,711","76,904","63,821","34,991","14,302","2,580",54,"227,012","227,012","14,016","23,652","31,434","34,429","33,668","37,234","30,279","16,083","5,575",635,7,"236,562","236,562","13,207","22,447","31,546","31,480","35,043","39,670","33,542","18,908","8,727","1,945",47
대전광역시 유성구 (3020000000),"370,610","370,610","28,658","38,674","52,106","59,059","58,152","59,105","44,882","20,410","7,864","1,661",39,"187,882","187,882","14,850","19,796","28,283","31,644","28,879","29,154","21,999","9,915","2,975",381,6,"182,728","182,728","13,808","18,878","23,823","27,415","29,273","29,951","22,883","10,495","4,889","1,280",33
대전광역시 대덕구 (3023000000),"164,476","164,476","7,375","13,210","18,392","19,385","20,863","31,493","29,805","15,895","6,840","1,186",32,"83,444","83,444","3,721","6,850","10,132","10,908","10,975","15,896","14,791","7,315","2,555",297,4,"81,032","81,032","3,654","6,360","8,260","8,477","9,888","15,597","15,014","8,580","4,285",889,28
울산광역시  (3100000000),"1,088,041","1,088,041","65,742","108,829","107,742","136,803","167,342","196,401","181,342","88,946","30,169","4,624",101,"561,115","561,115","33,662","56,653","62,289","75,995","87,130","98,195","91,790","42,866","11,518","1,006",11,"526,926","526,926","32,080","52,176","45,453","60,808","80,212","98,206","89,552","46,080","18,651","3,618",90
울산광역시 중구 (3111000000),"203,339","203,339","11,359","18,790","18,463","24,545","29,417","36,124","36,597","20,059","7,036",933,16,"102,781","102,781","5,869","9,835","10,498","13,333","15,253","17,791","17,966","9,286","2,727",221,2,"100,558","100,558","5,490","8,955","7,965","11,212","14,164","18,333","18,631","10,773","4,309",712,14
울산광역시 남구 (3114000000),"304,457","304,457","17,651","27,889","33,665","42,466","44,457","55,423","49,808","24,283","7,715","1,073",27,"155,973","155,973","9,082","14,565","19,255","23,653","22,795","27,013","24,747","11,561","3,030",269,3,"148,484","148,484","8,569","13,324","14,410","18,813","21,662","28,410","25,061","12,722","4,685",804,24
울산광역시 동구 (3117000000),"147,925","147,925","8,663","16,148","13,953","16,812","25,787","24,028","25,086","13,346","3,626",461,15,"77,483","77,483","4,408","8,423","7,971","9,682","13,981","12,643","12,142","6,659","1,482",92,0,"70,442","70,442","4,255","7,725","5,982","7,130","11,806","11,385","12,944","6,687","2,144",369,15
울산광역시 북구 (3120000000),"214,026","214,026","16,530","25,456","20,704","29,271","37,369","37,899","30,594","11,518","3,990",681,14,"111,502","111,502","8,468","13,207","12,453","16,210","19,132","18,667","16,187","5,584","1,472",119,3,"102,524","102,524","8,062","12,249","8,251","13,061","18,237","19,232","14,407","5,934","2,518",562,11
울산광역시 울주군 (3171000000),"218,294","218,294","11,539","20,546","20,957","23,709","30,312","42,927","39,257","19,740","7,802","1,476",29,"113,376","113,376","5,835","10,623","12,112","13,117","15,969","22,081","20,748","9,776","2,807",305,3,"104,918","104,918","5,704","9,923","8,845","10,592","14,343","20,846","18,509","9,964","4,995","1,171",26
세종특별자치시  (3600000000),"391,024","391,024","37,636","54,046","36,284","57,159","75,691","59,961","39,716","20,309","8,324","1,864",34,"194,741","194,741","19,103","27,407","18,703","28,321","37,013","31,108","19,714","9,765","3,179",423,5,"196,283","196,283","18,533","26,639","17,581","28,838","38,678","28,853","20,002","10,544","5,145","1,441",29
세종특별자치시  (3611000000),"391,024","391,024","37,636","54,046","36,284","57,159","75,691","59,961","39,716","20,309","8,324","1,864",34,"194,741","194,741","19,103","27,407","18,703","28,321","37,013","31,108","19,714","9,765","3,179",423,5,"196,283","196,283","18,533","26,639","17,581","28,838","38,678","28,853","20,002","10,544","5,145","1,441",29
경기도  (4100000000),"13,751,098","13,751,098","877,674","1,325,139","1,534,525","1,932,298","2,169,232","2,360,316","1,989,893","1,019,142","458,470","82,307","2,102","6,903,574","6,903,574","449,424","676,995","801,434","1,013,786","1,107,987","1,186,352","993,087","475,905","176,965","21,225",414,"6,847,524","6,847,524","428,250","648,144","733,091","918,512","1,061,245","1,173,964","996,806","543,237","281,505","61,082","1,688"
북부출장소  (4110500000),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경기도 수원시 (4111000000),"1,186,150","1,186,150","71,261","110,346","159,969","188,458","182,998","200,059","159,431","75,103","32,625","5,747",153,"595,478","595,478","36,665","56,826","82,941","100,054","93,045","98,818","79,131","34,239","12,269","1,464",26,"590,672","590,672","34,596","53,520","77,028","88,404","89,953","101,241","80,300","40,864","20,356","4,283",127
